R,Name,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Apps,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,R,,Name,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,R,,Name,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
Aaron Meijers,ADO Den Haag,33,2970,0,5,5,0,0.3,72.1,1.4,0,7.1,33,2.8,2.1,1.1,0.4,2.6,1.4,0.2,0,7.1,71,,"Eric BotteghinGroningen, 27, D(C)",34,3060,3,2,0.8,0.2,0.9,0.4,-,0.3,0.4,7.61,6,,"Eric BotteghinGroningen, 27, D(C)",34,3060,2,0.2,59.9,84.7,0.1,5.2,-,7.61
Adam Maher,PSV Eindhoven,30(1),2401,7,5,3,0,2,83.6,0.6,3,7.34,30(1),1.9,0.8,0.7,0,0.4,0.9,0.2,0,7.34,19,,"Jeffrey GouweleeuwAZ Alkmaar, 24, D(C)",34,3060,1,3,0.6,0.4,0.3,0.4,-,0.4,0.6,7.2,47,,"Jeffrey GouweleeuwAZ Alkmaar, 24, D(C)",34,3060,3,0.4,45.8,78,0.1,3.6,-,7.2
Adil Auassar,Excelsior,29(2),2521,4,3,6,0,1.7,63.6,1.9,1,6.84,29(2),1.6,1.3,1.5,0,1.9,0.7,0.3,0,6.84,145,,"Jelle ten RouwelaarNAC Breda, 34, GK",34,3060,-,-,-,-,-,0.1,-,-,-,6.58,208,,"Jelle ten RouwelaarNAC Breda, 34, GK",34,3060,-,-,32.4,52.2,-,9.7,-,6.58
Adnane Tighadouini,NAC Breda,31(2),2655,14,3,3,0,3.2,72.7,0.8,5,7.19,31(2),1.2,0.8,1.2,0,0.5,0.8,0.1,0,7.19,50,,"Kristoffer NordfeldtHeerenveen, 26, GK",34,3060,-,-,-,-,-,0.1,-,-,-,6.9,123,,"Kristoffer NordfeldtHeerenveen, 26, GK",34,3060,-,-,32.1,56.1,-,8.8,-,6.9
Albert Rusnák,Cambuur,17,1477,4,2,2,0,1.8,82.1,0,2,7.24,17,0.8,1.4,1.3,0,0.1,0.3,0.1,0,7.24,31,,"Sander FischerExcelsior, 26, D(C)",34,3056,1,1,0.3,0.2,0.5,1.1,-,0.3,0.4,7.08,79,,"Sander FischerExcelsior, 26, D(C)",34,3056,1,0.2,32,79.1,-,3.5,-,7.08
Alex Schalk,Go Ahead Eagles,12(8),1028,4,0,0,0,1.6,73.3,0.2,0,6.44,12(8),0.7,0.7,0.6,0,0.3,0.4,0.1,0,6.44,238,,"Tjaronn CheryGroningen, 27, AM(CLR)",34,3019,15,6,3.9,1.7,0.6,1.6,0.4,2,1.6,7.22,40,,"Tjaronn CheryGroningen, 27, AM(CLR)",34,3019,6,1.7,41.5,81.8,0.9,1.8,0.2,7.22
Ali Messaoud,Willem II,23(4),2081,5,6,5,0,1.9,74.4,1.5,1,6.77,23(4),1.2,0.7,1.4,0,0.7,0.9,0,0,6.77,163,,"Stijn WuytensWillem II, 25, M(C)",34,3014,2,2,1,1.4,0.3,0.6,-,0.7,0.6,7.23,35,,"Stijn WuytensWillem II, 25, M(C)",34,3014,2,1.4,46.6,81.8,1.2,3.9,0.1,7.23
Andreas Bjelland,Twente,26,2244,3,3,6,1,0.7,81.8,5,1,7.27,26,1.3,2.5,1.1,0.4,6.7,0.3,0.4,0,7.27,25,,"Jordens PetersWillem II, 28, D(C)",34,2995,-,1,0.4,0.1,0.2,1.3,-,0.3,0.2,7.07,81,,"Jordens PetersWillem II, 28, D(C)",34,2995,1,0.1,50.9,83.1,0.1,6.9,0.1,7.07
Andrés Guardado,PSV Eindhoven,27(1),2307,1,0,2,0,0.5,83.9,0.6,1,7.18,27(1),2,1.6,0.5,0.1,1.5,1,0.3,0,7.18,51,,"Aaron MeijersADO Den Haag, 27, D(L)",33,2970,-,5,0.3,1,1.1,2.3,0.1,0.8,1,7.1,71,,"Aaron MeijersADO Den Haag, 27, D(L)",33,2970,5,1,38.2,72.1,0.8,2.9,-,7.1
Anwar El Ghazi,Ajax,23(8),2172,9,8,3,0,2.3,76.7,1.2,2,7.21,23(8),0.5,0.3,1.1,0,0.4,0.4,0,0,7.21,41,,"Etiënne ReijnenCambuur, 28, D(CR)",33,2970,1,2,0.4,0.6,0.2,1.5,-,0.3,0.4,7.12,65,,"Etiënne ReijnenCambuur, 28, D(CR)",33,2970,2,0.6,66.7,87,0.1,6.2,-,7.12
Arkadiusz Milik,Ajax,14(7),1266,11,4,4,0,1.9,74.9,1.4,4,7.14,14(7),0.7,0.4,1,0,0.4,0.4,0,0,7.14,61,,"Leonard NienhuisCambuur, 25, GK",34,2970,-,-,-,-,-,0.1,-,-,-,6.63,197,,"Leonard NienhuisCambuur, 25, GK",34,2970,-,-,41.2,57.5,-,10.2,-,6.63
Aron Jóhannsson,AZ Alkmaar,17(4),1516,9,3,1,0,1.5,76.7,0.7,2,6.9,17(4),0.2,0.3,1.4,0,0.5,0.4,0.1,0,6.9,126,,"Kostas LamprouWillem II, 23, GK",33,2954,-,-,-,0.1,-,0.1,-,-,-,6.67,189,,"Kostas LamprouWillem II, 23, GK",33,2954,-,0.1,39.2,66.5,-,11.8,-,6.67
Bart Schenkeveld,Heracles,15(3),1289,0,0,2,0,0,84.4,1.2,0,6.52,15(3),1.5,1.8,0.9,0.4,4,0.1,0.3,0,6.52,228,,"Bart van HintumPEC Zwolle, 28, D(L)",33,2948,1,7,1,1.4,0.3,0.6,0.1,0.2,0.2,7.29,23,,"Bart van HintumPEC Zwolle, 28, D(L)",33,2948,7,1.4,40,81,1.7,3.4,-,7.29
Bart van Hintum,PEC Zwolle,33,2948,1,7,4,1,1,81,1.3,1,7.29,33,1.8,2.4,0.9,0.2,3.3,0.9,0.2,0,7.29,23,,"Joris van OvereemFC Dordrecht, 21, AM(CR)",33(1),2904,2,4,1,1.3,0.6,1.6,0.1,1.7,1.8,6.62,199,,"Joris van OvereemFC Dordrecht, 21, AM(CR)",33(1),2904,4,1.3,35.9,75.7,0.6,2.3,-,6.62
Bart Vriends,Go Ahead Eagles,31,2760,3,0,5,1,0.3,77.4,3.4,0,7.14,31,2.3,2.5,1.3,0.9,7.2,0.6,0.9,0,7.14,59,,"Jasper CillessenAjax, 26, GK",32,2880,-,-,-,-,0.1,0.3,-,-,-,7.15,58,,"Jasper CillessenAjax, 26, GK",32,2880,-,-,31.2,65.4,-,8.8,-,7.15
Bartholomew Ogbeche,Cambuur,30(1),2638,13,2,8,1,3,68.6,3.7,4,7.13,30(1),1.1,0.7,2.2,0,1.5,0.3,0.2,0,7.13,63,,"Jeroen ZoetPSV Eindhoven, 24, GK",32,2880,-,-,-,-,0.1,0.2,-,-,0.1,7.11,69,,"Jeroen ZoetPSV Eindhoven, 24, GK",32,2880,-,-,27.3,72.9,-,8.8,-,7.11
Bas Kuipers,Excelsior,28(2),2573,0,0,3,0,0.1,74.5,0.8,0,6.75,28(2),2.9,1.8,1,0.1,3.6,0.7,0.2,0,6.75,169,,"Martin HansenADO Den Haag, 25, GK",32,2880,-,-,-,-,-,0.3,-,-,0.1,6.84,143,,"Martin HansenADO Den Haag, 25, GK",32,2880,-,-,40.4,59.3,-,10.9,-,6.84
Ben Rienstra,PEC Zwolle,32,2834,5,1,5,0,1.5,80.8,1.3,2,6.95,32,1.7,1.6,1,0,1.6,0.7,0.2,0,6.95,111,,"Sergio PadtGroningen, 25, GK",32,2880,-,1,-,0.1,-,0.2,-,-,-,6.99,96,,"Sergio PadtGroningen, 25, GK",32,2880,1,0.1,35.3,52.5,-,8.5,-,6.99
Ben Sahar,Willem II,26(7),2146,7,4,2,0,1.5,69.7,1.1,2,6.71,26(7),0.5,0.7,0.6,0,0.3,0.6,0,0,6.7,180,,"Maikel KieftenbeldGroningen, 25, DM(C)",33,2879,-,4,0.7,0.6,0.4,1,-,0.7,0.5,6.79,154,,"Maikel KieftenbeldGroningen, 25, DM(C)",33,2879,4,0.6,45,82.7,0.1,2.8,0.1,6.79
