Name,Team,Age,Apps,Mins,Min / app,Goals,Assists,Yel,Red,SpG,PS%,Tackles,Tackles2,Fouls,Drb,KeyP,Fouled,Disp,AvgP
Aaron Meijers,ADO Den Haag,27,33,2970,90,0,5,5,0,0.3,72.1,92,2.8,1.1,1.4,0.2,0.4,0.3,59.9
Adam Maher,PSV Eindhoven,22,31,2401,77,7,5,3,0,2,83.6,59,1.9,0.7,0.9,0.4,0.4,0.4,45.8
Adil Auassar,Excelsior,28,31,2521,81,4,3,6,0,1.7,63.6,50,1.6,1.5,0.7,0,0.1,0,32.4
Adnane Tighadouini,NAC Breda,22,33,2655,80,14,3,3,0,3.2,72.7,40,1.2,1.2,0.8,0,0.1,0,32.1
Albert Rusnák,Cambuur,21,17,1477,87,4,2,2,0,1.8,82.1,14,0.8,1.3,0.3,0.2,1.1,0.3,32
Alex Schalk,Go Ahead Eagles,23,20,1028,51,4,0,0,0,1.6,73.3,14,0.7,0.6,0.4,1.7,1.6,2,41.5
Ali Messaoud,Willem II,24,27,2081,77,5,6,5,0,1.9,74.4,32,1.2,1.4,0.9,1.4,0.6,0.7,46.6
Andreas Bjelland,Twente,27,26,2244,86,3,3,6,1,0.7,81.8,34,1.3,1.1,0.3,0.1,1.3,0.3,50.9
Andrés Guardado,PSV Eindhoven,28,28,2307,82,1,0,2,0,0.5,83.9,56,2,0.5,1,1,2.3,0.8,38.2
Anwar El Ghazi,Ajax,20,31,2172,70,9,8,3,0,2.3,76.7,16,0.5,1.1,0.4,0.6,1.5,0.3,66.7
Arkadiusz Milik,Ajax,21,21,1266,60,11,4,4,0,1.9,74.9,15,0.7,1,0.4,0,0.1,0,41.2
Aron Jóhannsson,AZ Alkmaar,24,21,1516,72,9,3,1,0,1.5,76.7,4,0.2,1.4,0.4,0.1,0.1,0,39.2
Bart Schenkeveld,Heracles,24,18,1289,72,0,0,2,0,0,84.4,27,1.5,0.9,0.1,1.4,0.6,0.2,40
Bart van Hintum,PEC Zwolle,28,33,2948,89,1,7,4,1,1,81,59,1.8,0.9,0.9,1.3,1.6,1.7,35.9
Bart Vriends,Go Ahead Eagles,24,31,2760,89,3,0,5,1,0.3,77.4,71,2.3,1.3,0.6,0,0.3,0,31.2
Bartholomew Ogbeche,Cambuur,30,31,2638,85,13,2,8,1,3,68.6,34,1.1,2.2,0.3,0,0.2,0,27.3
Bas Kuipers,Excelsior,21,30,2573,86,0,0,3,0,0.1,74.5,87,2.9,1,0.7,0,0.3,0,40.4
Ben Rienstra,PEC Zwolle,25,32,2834,89,5,1,5,0,1.5,80.8,54,1.7,1,0.7,0.1,0.2,0,35.3
Ben Sahar,Willem II,26,33,2146,65,7,4,2,0,1.5,69.7,17,0.5,0.6,0.6,0.6,1,0.7,45
Bertrand Traore,Vitesse,19,29,2159,74,13,4,5,0,4,75.4,23,0.8,1,0.5,1.2,1.3,2,33.1
Bram van Polen,PEC Zwolle,29,32,2755,86,1,1,6,0,0.5,83.5,83,2.6,1.6,1,1.1,1.3,1.1,61.4
Bruno Andrade,Willem II,26,27,1618,60,4,5,2,0,2,77.6,19,0.7,0.6,0.3,0.8,0.8,1.2,32.7
Bryan Linssen,Heracles,24,33,2718,82,10,8,6,0,2,67.4,50,1.5,2,0.9,0.9,1.9,1.3,43.2
Calvin Mac-Intosch,Cambuur,26,20,1242,62,0,2,1,0,0.2,88,34,1.7,0.7,0.6,1.4,1,1.8,29.2
Celso Ortiz,AZ Alkmaar,26,24,2005,84,0,0,2,0,0.5,79.7,72,3,1.2,2,1.2,0.5,0.2,42.8
Christian Kum,Utrecht,29,29,2173,75,3,0,4,0,0.8,77.4,75,2.6,1.2,0.6,1.9,1.4,2.6,30.4
Colin Kazim-Richards,Feyenoord,29,27,2174,81,11,5,4,0,3,74.6,8,0.3,2.6,0.1,0.1,0.1,0,36
Cuco Martina,Twente,25,32,2822,88,0,1,4,0,0.3,81.5,42,1.3,1.3,0.4,0.8,1,1.1,48.4
Daan Bovenberg,Excelsior,26,19,1608,85,2,3,2,0,0.5,65.7,53,2.8,1.5,0.9,0.4,0.5,0.5,61.2
